#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),,
,anki,"is a flashcard program that utilizes spaced repetition."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xsel,"retrieves and sets the X selection."
,ttf-droid,"is a general-purpose fonts released by Google."
,ttf-joypixels,"is an emoji font."
,vifm,"is a curses based vi[m] like file manager."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,neovim,"is a tidier vim with some useful features."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,qutebrowser,"is a keyboard-focused browser with a minimal GUI."
,translate-shell,"is a command-line interface for Google Translate"
,transmission-cli,"is a free BitTorrent client."
,ntfs-3g,"allows accessing NTFS partitions."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,socat,"is a socket utility."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,python-pynvim,"is a python client for Neovim."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,urlscan,"is a terminal url selector."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,alsa-utils,"contains various utilities which are useful for controlling your sound card."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,cronie-runit,"contains the standard UNIX daemon crond specified programs at scheduled times."
A,md2pdf,"is a Markdown to PDF converter."
A,siji-git,"is an iconic bitmap font."
A,tremc-git,"is a curses interface for transmission."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,pipe-viewer,"is a youtube cli interface."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,gotop-bin,"is a terminal based graphical activity monitor."
A,xkb-switch,"allows to query and change the XKB layout state."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
G,https://github.com/unmd101/dwm.git,"is the window manager."
G,https://github.com/unmd101/st.git,"is the window manager."
G,https://github.com/unmd101/slock.git,"is a simple X display locker."
G,https://github.com/unmd101/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/unmd101/dmenu.git,"runs commands and provides a UI for selection."
